企業・団体名,合計,文科系 男子,文科系 女子,理工系,
株式会社ジェイエイシーリクルートメント,4,1,2,1,
株式会社ジュピターテレコム,4,2,2,,
株式会社髙島屋,4,1,3,,
中央コンピューター株式会社,4,1,2,1,
株式会社中日新聞社,4,1,2,1,
帝人株式会社,4,2,1,1,
東洋紡株式会社,4,2,1,1,
トヨタ紡織株式会社,4,2,,2,
東急リバブル株式会社,4,2,2,,
株式会社トライグループ,4,2,2,,
電源開発株式会社,4,2,1,1,
デンソーテクノ株式会社,4,,,4,
奈良市,4,2,2,,
日本アイ・ビー・エム株式会社,4,1,2,1,
日本ガイシ株式会社,4,1,1,2,
株式会社ネオキャリア,4,2,1,1,
株式会社阪急オアシス,4,1,3,,
株式会社浜学園,4,2,2,,
古野電気株式会社,4,3,1,,
福島工業株式会社,4,1,,3,
パナホーム株式会社,4,2,2,,
パナソニック　インフォメーションシステムズ株式会社,4,2,,2,
三井住友ファイナンス＆リース株式会社,4,4,,,
三井造船株式会社,4,2,,2,
三菱ケミカル株式会社,4,,2,2,
株式会社モリタ,4,4,,,
ヤマハ発動機株式会社,4,1,1,2,
株式会社山善,4,2,2,,
株式会社ユニクロ,4,2,2,,
株式会社ＵＳＥＮ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,4,,4,,
株式会社読売新聞大阪本社,4,2,2,,
株式会社リンクアンドモチベーション,4,,4,,
株式会社レオパレス２１,4,1,2,1,
労働基準監督官,4,3,1,,
アサヒ飲料株式会社,3,,,3,
株式会社アペックス,3,2,1,,
株式会社アサツーディ・ケイ,3,1,2,,
味の素株式会社,3,1,2,,
アストラゼネカ株式会社,3,1,1,1,
アヲハタ株式会社,3,2,1,,
株式会社ＩＨＩ,3,3,,,
アース製薬株式会社,3,1,,2,
株式会社アプラス,3,1,2,,
株式会社アグレックス,3,1,1,1,
株式会社ココカラファインヘルスケア,3,,3,,
ANAエアポートサービス株式会社,3,,3,,
株式会社アウトソーシングテクノロジー,3,3,,,
株式会社伊藤園,3,2,1,,
いすゞ自動車株式会社,3,2,1,,
石川県教員,3,1,2,,
株式会社ウィザス,3,1,1,1,
エヌ・ティ・ティ・コミュニケーションズ株式会社,3,1,1,1,
